file,lines,status,warning_count,observation_count,recommendation
src/elspeth/plugins/sinks/json_sink.py,537,CRITICAL,5,1,"The JSON array truncate-then-write pattern (Critical finding) is a data loss risk that must be addressed before this code handles emergency dispatc..."
src/elspeth/core/security/web.py,84,CRITICAL,2,3,"(1) Fix the DNS rebinding TOCTOU vulnerability by ensuring the HTTP client uses the pre-validated IP address rather than performing independent DNS..."
src/elspeth/cli.py,2417,NEEDS_REFACTOR,6,5,"(1) Delete the dead `_execute_pipeline` function (lines 675-985) immediately -- it violates the No Legacy Code Policy. (2) Extract event formatter ..."
src/elspeth/plugins/llm/openrouter_multi_query.py,1253,NEEDS_REFACTOR,6,6,"1. **Immediate (Critical):** Fix the `None` content crash at line 846 by adding a null check before `.strip()`. Fix `expand_queries()` to pass `cri..."
src/elspeth/telemetry/exporters/datadog.py,333,NEEDS_REFACTOR,4,1,"(1) The global environment variable mutation must be addressed -- either save and restore the original values on close, or use a ddtrace API that a..."
src/elspeth/plugins/llm/azure_batch.py,1261,NEEDS_ATTENTION,8,5,"Three items require immediate attention before production use:"
src/elspeth/core/config.py,1598,NEEDS_ATTENTION,7,7,"1. **(High priority)** Add `extra = ""forbid""` to `ElspethSettings` and all Settings models that directly accept user YAML input. This is the sing..."
src/elspeth/engine/processor.py,2004,NEEDS_ATTENTION,7,7,"Three priorities:"
src/elspeth/mcp/server.py,2355,NEEDS_ATTENTION,7,4,"The SQL keyword blocklist in `query()` needs to be replaced with a word-boundary-aware check (e.g., regex `\bCREATE\b`) to eliminate false positive..."
src/elspeth/core/landscape/recorder.py,3233,NEEDS_ATTENTION,6,7,"1. Fix the TOCTOU race in `complete_operation()` by combining the validation read and status update into a single transaction (use `WHERE status = ..."
src/elspeth/engine/executors.py,2235,NEEDS_ATTENTION,6,8,"Address the warnings in priority order:"
src/elspeth/engine/orchestrator/core.py,2319,NEEDS_ATTENTION,6,8,"1. **Fix immediately:** Missing `rows_succeeded` increments in `_process_resumed_rows()` coalesce-timeout handlers (lines 2120 and 2139). These are..."
src/elspeth/engine/orchestrator/export.py,346,NEEDS_ATTENTION,6,4,"(1) Add try/finally around sink operations in JSON export to ensure cleanup on failure. (2) Consider whether export sinks should receive a landscap..."
src/elspeth/testing/chaosllm/server.py,747,NEEDS_ATTENTION,6,3,"The highest priority items are (1) the SSTI vulnerability via X-Fake-Template header, which should use `jinja2.SandboxedEnvironment` instead of `ji..."
src/elspeth/core/dag.py,1364,NEEDS_ATTENTION,5,6,"Three items should be addressed before release:"
src/elspeth/core/landscape/database.py,327,NEEDS_ATTENTION,5,3,"(1) Add `PRAGMA busy_timeout=5000` to `_configure_sqlite()` -- this is the most impactful fix and addresses a real production failure mode. (2) Con..."
src/elspeth/core/landscape/schema.py,506,NEEDS_ATTENTION,5,5,"(1) Add a primary key to `batch_members` -- either a `PrimaryKeyConstraint(""batch_id"", ""token_id"")` (replacing the UniqueConstraint) or a surro..."
src/elspeth/core/rate_limit/limiter.py,270,NEEDS_ATTENTION,5,4,"The global excepthook replacement at import time is the primary concern. Consider deferring the hook installation until the first `RateLimiter` is ..."
src/elspeth/plugins/azure/blob_sink.py,637,NEEDS_ATTENTION,5,3,"Replace `Environment` with `SandboxedEnvironment` for blob path rendering (defense-in-depth against SSTI). Fix the exception re-raise pattern to us..."
src/elspeth/plugins/clients/http.py,683,NEEDS_ATTENTION,5,2,"(1) Refactor post/get into a shared internal `_execute_request()` method to eliminate duplication. (2) Create a persistent httpx.Client in `__init_..."
src/elspeth/plugins/context.py,511,NEEDS_ATTENTION,5,5,"(1) Either implement `route_to_sink()` properly or remove it and remove the call from the executor -- the current state is misleading dead code. (2..."
src/elspeth/plugins/llm/azure.py,759,NEEDS_ATTENTION,5,5,"Fix the race condition in `_get_underlying_client()` (C1) by adding lock protection consistent with `_get_llm_client()`. Evaluate whether the contr..."
src/elspeth/plugins/llm/azure_multi_query.py,1089,NEEDS_ATTENTION,5,6,"Fix the critical sequential path bug where retryable `LLMClientError` (NetworkError, ServerError) is not caught in `_execute_queries_sequential()`...."
src/elspeth/plugins/llm/openrouter.py,719,NEEDS_ATTENTION,5,6,"The `max_tokens` truthiness check (C2) should be changed to `if self._max_tokens is not None` for correctness parity with Azure. The HTTP client cr..."
src/elspeth/plugins/sinks/database_sink.py,407,NEEDS_ATTENTION,5,3,"The double serialization (Critical finding) should be fixed by computing canonical JSON once and deriving both the hash and the size from the same ..."
src/elspeth/plugins/transforms/azure/content_safety.py,526,NEEDS_ATTENTION,5,5,"Two issues require immediate attention: (1) The fail-open category mapping must be replaced with an explicit lookup table that rejects unknown cate..."
src/elspeth/plugins/transforms/azure/prompt_shield.py,459,NEEDS_ATTENTION,5,5,"Three issues require immediate attention: (1) The API request structure should be redesigned to properly distinguish user prompt fields from docume..."
src/elspeth/plugins/transforms/web_scrape.py,293,NEEDS_ATTENTION,5,3,"Three issues require remediation: (1) The SSRF TOCTOU vulnerability needs a fundamental fix -- either pin DNS resolution and pass the resolved IP t..."
src/elspeth/telemetry/exporters/otlp.py,417,NEEDS_ATTENTION,5,3,"(1) Add type validation for config parameters (`batch_size`, `headers`, `endpoint`) to match the validation rigor of the Azure Monitor exporter. (2..."
src/elspeth/telemetry/manager.py,428,NEEDS_ATTENTION,5,2,"Fix the race condition on `_last_logged_drop_count` in `_dispatch_to_exporters` by either (a) holding `_dropped_lock` for the entire aggregate logg..."
src/elspeth/testing/chaosllm/metrics.py,848,NEEDS_ATTENTION,5,3,"Fix the `close()` method to track and close all thread connections (requires maintaining a thread-safe registry of connections). Address the race c..."
src/elspeth/testing/chaosllm_mcp/server.py,1071,NEEDS_ATTENTION,5,5,"(1) Replace the SQL keyword blocklist with a proper approach -- either use `sqlite3.connect(..., readonly=True)` (available in Python 3.12+ via URI..."
src/elspeth/tui/widgets/lineage_tree.py,197,NEEDS_ATTENTION,5,4,"(1) The linear transform chain assumption should be documented as a known limitation or refactored to support DAG display (using edge data from the..."
src/elspeth/contracts/config/runtime.py,598,NEEDS_ATTENTION,4,4,"1. Add NaN/Infinity rejection to `_validate_float_field` (critical -- this can cause silent data corruption in retry timing)."
src/elspeth/contracts/errors.py,803,NEEDS_ATTENTION,4,5,"Remove the backwards-compatibility `branches_arrived` field from `CoalesceFailureReason` per the No Legacy Code Policy. The other findings are desi..."
src/elspeth/core/checkpoint/recovery.py,472,NEEDS_ATTENTION,4,4,"The `.get()` calls on aggregation state (lines 292-295) should be replaced with direct key access per the Data Manifesto's Tier 1 trust model. The ..."
src/elspeth/core/landscape/exporter.py,537,NEEDS_ATTENTION,4,3,"Address the residual N+1 query patterns in batch members (lines 468-491) and operation calls (lines 233-270) to bring them in line with the Bug 76r..."
src/elspeth/core/landscape/lineage.py,217,NEEDS_ATTENTION,4,5,"(1) The N+1 query pattern for routing events and calls (lines 157-166) should be optimized with batch queries using an IN clause over the set of st..."
src/elspeth/core/retention/purge.py,443,NEEDS_ATTENTION,4,4,"The TOCTOU race (warning #1) should be documented and either accepted as a known limitation or mitigated by changing the purge loop to use `delete(..."
src/elspeth/engine/coalesce_executor.py,903,NEEDS_ATTENTION,4,6,"1. Add `first` policy handling to `check_timeouts` (raise RuntimeError like `flush_pending` does) -- this is a straightforward fix that prevents si..."
src/elspeth/engine/expression_parser.py,583,NEEDS_ATTENTION,4,9,"1. Fix the mutable operator allowlists (known P2 bug) -- use `types.MappingProxyType` wrapping."
src/elspeth/engine/orchestrator/aggregation.py,433,NEEDS_ATTENTION,4,4,"(1) Extract the duplicated outcome-handling logic into a shared helper function to ensure consistent behavior and reduce maintenance risk. (2) Revi..."
src/elspeth/plugins/azure/blob_source.py,735,NEEDS_ATTENTION,4,3,"Address the unbounded memory allocation (critical for production safety), fix the exception re-raise pattern to avoid constructor mismatches, and m..."
src/elspeth/plugins/batching/mixin.py,408,NEEDS_ATTENTION,4,3,"The release loop exception handler (lines 288-310) should be hardened to handle the case where `entry.result` unpack fails, by assigning sentinel v..."
src/elspeth/plugins/clients/llm.py,457,NEEDS_ATTENTION,4,3,"(1) Replace string-based error classification with structured error inspection (check for `status_code` attribute on OpenAI exceptions, or use `isi..."
src/elspeth/plugins/clients/verifier.py,283,NEEDS_ATTENTION,4,3,"(1) Add a threading.Lock if the verifier will be used in thread-pool contexts. (2) Add a counter for the ""call never had response"" case (case 3) ..."
src/elspeth/plugins/llm/openrouter_batch.py,783,NEEDS_ATTENTION,4,4,"(1) Verify thread-safety of `ctx.record_call()` and `landscape.allocate_call_index()` when called from ThreadPoolExecutor workers with a shared con..."
src/elspeth/plugins/pooling/executor.py,479,NEEDS_ATTENTION,4,4,"Fix the three confirmed P2 bugs (stats accumulation, dispatch gate pacing, shutdown). The `_shutdown` flag issue should be addressed as part of the..."
src/elspeth/plugins/protocols.py,665,NEEDS_ATTENTION,4,4,"(1) Remove `PluginProtocol` or actually use it to enforce the common attributes across all plugin protocols. (2) Add `close()` to `CoalesceProtocol..."
src/elspeth/plugins/sinks/csv_sink.py,617,NEEDS_ATTENTION,4,3,"The content hash semantics in append mode (Critical finding) should be clarified -- either document that the hash represents cumulative file state ..."
src/elspeth/plugins/sources/csv_source.py,305,NEEDS_ATTENTION,4,5,"Change `strict=False` to `strict=True` on line 243 as a defense-in-depth measure. The remaining warnings are low-severity and can be tracked as bac..."
src/elspeth/plugins/sources/json_source.py,335,NEEDS_ATTENTION,4,4,"(1) Add empty-source contract locking after the yield-from calls in `load()`, mirroring CSVSource lines 278-282. This is the highest priority fix. ..."
src/elspeth/plugins/transforms/batch_stats.py,208,NEEDS_ATTENTION,4,3,"(1) Add overflow protection for `sum()` -- check if `total` is finite after computation. (2) Re-evaluate the `group_by` design: either validate tha..."
src/elspeth/plugins/transforms/keyword_filter.py,176,NEEDS_ATTENTION,4,5,"(1) Add ReDoS protection -- either use a regex timeout (via a wrapper), pre-screen patterns for backtracking potential, or document the risk promin..."
